i x0 x1 x2 result
9 -10.000000 -0.200000 0.0 0.000025
10 -10.000000 -0.200000 0.0 0.000025
1 -10.000000 -0.000000 0.0 0.000023
2 -10.000000 -0.000000 0.0 0.000023
3 -10.000000 -0.000000 0.0 0.000023
4 -10.000000 -0.000000 0.0 0.000023
5 -10.000000 -0.000000 0.0 0.000023
6 -10.000000 -0.000000 0.0 0.000023
7 -10.000000 -0.000000 0.0 0.000023
8 -10.000000 -0.000000 0.0 0.000023
9 -10.000000 -0.000000 0.0 0.000023
10 -10.000000 -0.000000 0.0 0.000023
1 -10.000000 0.200000 0.0 0.000020
2 -10.000000 0.200000 0.0 0.000020
3 -10.000000 0.200000 0.0 0.000020
4 -10.000000 0.200000 0.0 0.000020
5 -10.000000 0.200000 0.0 0.000020
6 -10.000000 0.200000 0.0 0.000020
7 -10.000000 0.200000 0.0 0.000020
8 -10.000000 0.200000 0.0 0.000020
9 -10.000000 0.200000 0.0 0.000020
10 -10.000000 0.200000 0.0 0.000020
1 -10.000000 0.400000 0.0 0.000018
2 -10.000000 0.400000 0.0 0.000018
3 -10.000000 0.400000 0.0 0.000018
4 -10.000000 0.400000 0.0 0.000018
5 -10.000000 0.400000 0.0 0.000018
6 -10.000000 0.400000 0.0 0.000018
7 -10.000000 0.400000 0.0 0.000018
8 -10.000000 0.400000 0.0 0.000018
9 -10.000000 0.400000 0.0 0.000018
10 -10.000000 0.400000 0.0 0.000018
1 -10.000000 0.600000 0.0 0.000016
2 -10.000000 0.600000 0.0 0.000016
3 -10.000000 0.600000 0.0 0.000016
4 -10.000000 0.600000 0.0 0.000016
5 -10.000000 0.600000 0.0 0.000016
6 -10.000000 0.600000 0.0 0.000016
7 -10.000000 0.600000 0.0 0.000016
8 -10.000000 0.600000 0.0 0.000016
9 -10.000000 0.600000 0.0 0.000016
10 -10.000000 0.600000 0.0 0.000016
1 -10.000000 0.800000 0.0 0.000014
2 -10.000000 0.800000 0.0 0.000014
3 -10.000000 0.800000 0.0 0.000014
4 -10.000000 0.800000 0.0 0.000014
5 -10.000000 0.800000 0.0 0.000014
6 -10.000000 0.800000 0.0 0.000014
7 -10.000000 0.800000 0.0 0.000014
8 -10.000000 0.800000 0.0 0.000014
9 -10.000000 0.800000 0.0 0.000014
10 -10.000000 0.800000 0.0 0.000014
1 -10.000000 1.000000 0.0 0.000012
2 -10.000000 1.000000 0.0 0.000012
3 -10.000000 1.000000 0.0 0.000012
4 -10.000000 1.000000 0.0 0.000012
5 -10.000000 1.000000 0.0 0.000012
6 -10.000000 1.000000 0.0 0.000012
7 -10.000000 1.000000 0.0 0.000012
8 -10.000000 1.000000 0.0 0.000012
9 -10.000000 1.000000 0.0 0.000012
10 -10.000000 1.000000 0.0 0.000012
1 -10.000000 1.200000 0.0 0.000011
2 -10.000000 1.200000 0.0 0.000011
3 -10.000000 1.200000 0.0 0.000011
4 -10.000000 1.200000 0.0 0.000011
5 -10.000000 1.200000 0.0 0.000011
6 -10.000000 1.200000 0.0 0.000011
7 -10.000000 1.200000 0.0 0.000011
8 -10.000000 1.200000 0.0 0.000011
9 -10.000000 1.200000 0.0 0.000011
10 -10.000000 1.200000 0.0 0.000011
1 -10.000000 1.400000 0.0 0.000009
2 -10.000000 1.400000 0.0 0.000009
3 -10.000000 1.400000 0.0 0.000009
4 -10.000000 1.400000 0.0 0.000009
5 -10.000000 1.400000 0.0 0.000009
6 -10.000000 1.400000 0.0 0.000009
7 -10.000000 1.400000 0.0 0.000009
8 -10.000000 1.400000 0.0 0.000009
9 -10.000000 1.400000 0.0 0.000009
10 -10.000000 1.400000 0.0 0.000009
1 -10.000000 1.600000 0.0 0.000008
2 -10.000000 1.600000 0.0 0.000008
3 -10.000000 1.600000 0.0 0.000008
4 -10.000000 1.600000 0.0 0.000008
5 -10.000000 1.600000 0.0 0.000008
6 -10.000000 1.600000 0.0 0.000008
7 -10.000000 1.600000 0.0 0.000008
8 -10.000000 1.600000 0.0 0.000008
9 -10.000000 1.600000 0.0 0.000008
10 -10.000000 1.600000 0.0 0.000008
1 -10.000000 1.800000 0.0 0.000006
2 -10.000000 1.800000 0.0 0.000006
3 -10.000000 1.800000 0.0 0.000006
4 -10.000000 1.800000 0.0 0.000006
5 -10.000000 1.800000 0.0 0.000006
