i x0 x1 x2 result
10 -10.000000 -1.000000 0.0 3.31889e-05
1 -10.000000 -0.800000 0.0 3.13238e-05
2 -10.000000 -0.800000 0.0 3.13238e-05
3 -10.000000 -0.800000 0.0 3.13238e-05
4 -10.000000 -0.800000 0.0 3.13238e-05
5 -10.000000 -0.800000 0.0 3.13238e-05
6 -10.000000 -0.800000 0.0 3.13238e-05
7 -10.000000 -0.800000 0.0 3.13238e-05
8 -10.000000 -0.800000 0.0 3.13238e-05
9 -10.000000 -0.800000 0.0 3.13238e-05
10 -10.000000 -0.800000 0.0 3.13238e-05
1 -10.000000 -0.600000 0.0 2.93119e-05
2 -10.000000 -0.600000 0.0 2.93119e-05
3 -10.000000 -0.600000 0.0 2.93119e-05
4 -10.000000 -0.600000 0.0 2.93119e-05
5 -10.000000 -0.600000 0.0 2.93119e-05
6 -10.000000 -0.600000 0.0 2.93119e-05
7 -10.000000 -0.600000 0.0 2.93119e-05
8 -10.000000 -0.600000 0.0 2.93119e-05
9 -10.000000 -0.600000 0.0 2.93119e-05
10 -10.000000 -0.600000 0.0 2.93119e-05
1 -10.000000 -0.400000 0.0 2.71796e-05
2 -10.000000 -0.400000 0.0 2.71796e-05
3 -10.000000 -0.400000 0.0 2.71796e-05
4 -10.000000 -0.400000 0.0 2.71796e-05
5 -10.000000 -0.400000 0.0 2.71796e-05
6 -10.000000 -0.400000 0.0 2.71796e-05
7 -10.000000 -0.400000 0.0 2.71796e-05
8 -10.000000 -0.400000 0.0 2.71796e-05
9 -10.000000 -0.400000 0.0 2.71796e-05
10 -10.000000 -0.400000 0.0 2.71796e-05
1 -10.000000 -0.200000 0.0 2.49618e-05
2 -10.000000 -0.200000 0.0 2.49618e-05
3 -10.000000 -0.200000 0.0 2.49618e-05
4 -10.000000 -0.200000 0.0 2.49618e-05
5 -10.000000 -0.200000 0.0 2.49618e-05
6 -10.000000 -0.200000 0.0 2.49618e-05
7 -10.000000 -0.200000 0.0 2.49618e-05
8 -10.000000 -0.200000 0.0 2.49618e-05
9 -10.000000 -0.200000 0.0 2.49618e-05
10 -10.000000 -0.200000 0.0 2.49618e-05
1 -10.000000 -0.000000 0.0 2.26995e-05
2 -10.000000 -0.000000 0.0 2.26995e-05
3 -10.000000 -0.000000 0.0 2.26995e-05
4 -10.000000 -0.000000 0.0 2.26995e-05
5 -10.000000 -0.000000 0.0 2.26995e-05
6 -10.000000 -0.000000 0.0 2.26994e-05
7 -10.000000 -0.000000 0.0 2.26994e-05
8 -10.000000 -0.000000 0.0 2.26994e-05
9 -10.000000 -0.000000 0.0 2.26994e-05
10 -10.000000 -0.000000 0.0 2.26995e-05
1 -10.000000 0.200000 0.0 2.04371e-05
2 -10.000000 0.200000 0.0 2.04371e-05
3 -10.000000 0.200000 0.0 2.04371e-05
4 -10.000000 0.200000 0.0 2.04371e-05
5 -10.000000 0.200000 0.0 2.04371e-05
6 -10.000000 0.200000 0.0 2.04371e-05
7 -10.000000 0.200000 0.0 2.04371e-05
8 -10.000000 0.200000 0.0 2.04371e-05
9 -10.000000 0.200000 0.0 2.04371e-05
10 -10.000000 0.200000 0.0 2.04371e-05
1 -10.000000 0.400000 0.0 1.82192e-05
2 -10.000000 0.400000 0.0 1.82192e-05
3 -10.000000 0.400000 0.0 1.82192e-05
4 -10.000000 0.400000 0.0 1.82192e-05
5 -10.000000 0.400000 0.0 1.82192e-05
6 -10.000000 0.400000 0.0 1.82192e-05
7 -10.000000 0.400000 0.0 1.82192e-05
8 -10.000000 0.400000 0.0 1.82192e-05
9 -10.000000 0.400000 0.0 1.82192e-05
10 -10.000000 0.400000 0.0 1.82192e-05
1 -10.000000 0.600000 0.0 1.60869e-05
2 -10.000000 0.600000 0.0 1.60869e-05
3 -10.000000 0.600000 0.0 1.60869e-05
4 -10.000000 0.600000 0.0 1.60869e-05
5 -10.000000 0.600000 0.0 1.60869e-05
6 -10.000000 0.600000 0.0 1.60869e-05
7 -10.000000 0.600000 0.0 1.60869e-05
