i x result
17 -2.600000 -1.16538992151618004e-02
18 -2.600000 -1.16538992151618004e-02
19 -2.600000 -1.16538992151618004e-02
20 -2.600000 -1.16538992151618004e-02
1 -2.500000 -1.50842964649200439e-02
2 -2.500000 -1.50842964649200439e-02
3 -2.500000 -1.50842964649200439e-02
4 -2.500000 -1.50842964649200439e-02
5 -2.500000 -1.50842964649200439e-02
6 -2.500000 -1.50842964649200439e-02
7 -2.500000 -1.50842964649200439e-02
8 -2.500000 -1.50842964649200439e-02
9 -2.500000 -1.50842964649200439e-02
10 -2.500000 -1.50842964649200439e-02
11 -2.500000 -1.50842964649200439e-02
12 -2.500000 -1.50842964649200439e-02
13 -2.500000 -1.50842964649200439e-02
14 -2.500000 -1.50842964649200439e-02
15 -2.500000 -1.50842964649200439e-02
16 -2.500000 -1.50842964649200439e-02
17 -2.500000 -1.50842964649200439e-02
18 -2.500000 -1.50842964649200439e-02
19 -2.500000 -1.50842964649200439e-02
20 -2.500000 -1.50842964649200439e-02
1 -2.400000 -1.92768592387437820e-02
2 -2.400000 -1.92768592387437820e-02
3 -2.400000 -1.92768573760986328e-02
4 -2.400000 -1.92768592387437820e-02
5 -2.400000 -1.92768573760986328e-02
6 -2.400000 -1.92768573760986328e-02
7 -2.400000 -1.92768573760986328e-02
8 -2.400000 -1.92768592387437820e-02
9 -2.400000 -1.92768573760986328e-02
10 -2.400000 -1.92768573760986328e-02
11 -2.400000 -1.92768573760986328e-02
12 -2.400000 -1.92768573760986328e-02
13 -2.400000 -1.92768592387437820e-02
